Content_ID,Content_Type,Title,Hindi_Title,Theatrical_Release_Year,Hoichoi_Live_Date,Hoichoi_Ending_Date,Season_Number,Total_Episodes,Duration_Total_or_Per_Ep,Genre,Sub_Genre,Age_Rating,Age_Rating_Descriptors,Available_on_hoichoi,Link,Cast,Director,Writer,Production_House,Synopsis_Long,Synopsis_Short,Trailer_Link,Languages,Brand_Name,Literature_Adapted,Primary_Mood,Narrative_Tone,Ending_Type,Binge_Score,Family_Element_Score,AI_Generated_Keywords,Monetization_Model,Release_Type,Is_Bangladeshi,Recommended_Titles,Promotional_Rights
HOI301,Movie,U-Turn,N/A,2010,2018-01-02,2022-01-01,N/A,N/A,94 min,Thriller,Thriller,U/A 13+,"Sexual Content, Violence, Frightening Scenes",No,N/A,"Soumili Biswas, Indrajit, Arpita Dutta Choudhury",Animesh Roy,N/A,N/A,"Friends go on a trip, where each have their personal issues, till they accidentally come across a stranger. What happens next? Watch the full movie on Hoichoi.",Friends on a trip with personal issues encounter a stranger—what happens next? Watch the full movie on Hoichoi.,,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"nan, thriller",SVOD,Library,No,"Tekka, C/O Sir, Glamour, Rawkto Rawhoshyo, Mukhosh (2021)",not more than 3 minutes (non-commercial promotion )
HOI302,Movie,Parinam,N/A,2005,2018-01-02,2022-01-01,N/A,N/A,117 min,Action,Action,U/A 7+,Appropriate for age 7 and above,No,N/A,"Victor Banerjee, Sharad Kapoor, Biplab Chatterjee",Tanmoy Mukhopadhyay,N/A,N/A,"Love is an unforgivable crime for ex-army man Sashibhushan Choudhury, a man of strict ideologies. Situations crop up when his daughter Nisha falls in love with Raghu and secretly marries him. What will be the outcome now? Watch the full movie on Hoichoi.","For strict ex-army man Sashibhushan, love is forbidden—his daughter Nisha secretly marries Raghu. What happens next? Watch on Hoichoi.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"action, nan",SVOD,Library,No,"Kabir, Boss, Sesh Kartabya, ACP Ranveer, Gangstar King",not more than 3 minutes (non-commercial promotion )
HOI303,Movie,Kecho Khurte Kewte (2014),N/A,2014,2018-01-02,2022-01-01,N/A,N/A,128 min,Drama,Drama,U/A 7+,Appropriate for age 7 and above,No,N/A,"Amitabh Battacharya, Pamela, Pallabi Chattopadhyay",Sanghamitra Chowdhury,N/A,N/A,"While he attempts to mend his married life, a man is accused of a murder. Which way will he go now? Watch the full movie on Hoichoi.","While he attempts to mend his married life, a man is accused of a murder. Which way will he go now?",,Bengali,N/A,No,Drama,Neutral,Tragic,5,5,"nan, drama",FVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 3 minutes (non-commercial promotion )
HOI304,Movie,Swamir Ghar,N/A,1999,2018-01-02,2023-06-30,N/A,N/A,113 min,Drama,Drama,U/A 7+,Appropriate for age 7 and above,No,N/A,"Prosenjit Chatterjee, Rituparna Sengupta, Soumitra Chatterjee",Swapan Saha,N/A,L. G. Films,"Ajay’s life is full of struggles. He meets Sangita, a woman with an opposite societal status. Can love break the barrier? Watch the full movie on Hoichoi.","Ajay’s life is full of struggles. He meets Sangita, a woman with an opposite societal status. Can love break the barrier?",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 3 minutes (non-commercial promotion )
HOI305,Movie,Kencho Khurte Keute,N/A,1995,2018-01-02,2023-06-18,N/A,N/A,128 min,Drama,Drama,U/A 7+,Appropriate for age 7 and above,No,N/A,"Chiranjeet Chakraborty, Indrani Dutta, Utpal Dutta",Chiranjeet Chakraborty,N/A,Dipabali Chitram,"While he attempts to mend his married life, a man is accused of a murder. Which way will he go now? Watch the full movie on Hoichoi.","While he attempts to mend his married life, a man is accused of a murder. Which way will he go now?",,Bengali,N/A,No,Drama,Neutral,Tragic,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 1 minute
HOI306,Movie,Ebong Tumi Aar Ami,N/A,1997,2018-01-02,2022-01-01,N/A,N/A,99 min,Drama,Drama,U/A 7+,Appropriate for age 7 and above,No,N/A,"Soumitra Chatterjee, Rajatava Dutta, Indrani Haldar",Goutam Basu,N/A,N/A,Anindita is a woman of principles while Karuna Roy is a politician with high ambition. What happens when these worlds collide? Watch the full movie on Hoichoi.,Principled Anindita meets ambitious politician Karuna Roy—what unfolds when their worlds collide?,,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 3 minutes (non-commercial promotion )
HOI307,Movie,Amader Janani,N/A,2000,2018-01-02,2023-06-30,N/A,N/A,109 min,Drama,Drama,U/A 7+,Appropriate for age 7 and above,No,N/A,"Soumitra Chatterjee, Anuradha Ray, Dipankar Dey",Raj Mukherjee,N/A,L. G. Films,Mamata has been a devoted homemaker. But will her family support her when her talent is revealed to the outside world? Watch the full movie on Hoichoi.,Devoted homemaker Mamata’s talent emerges—will her family support her?,,Bengali,N/A,No,Drama,Neutral,Open,5,8,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 3 minutes (non-commercial promotion )
HOI308,Movie,Khawto (2016),N/A,2016,2017-12-23,2028-03-31,N/A,N/A,132 min,Thriller,Thriller,A 18+,"Foul Language, Violence, Substance Use, Sexual Content",Yes,N/A,"Prosenjit Chatterjee, Paoli Dam, Raima Sen",Kamaleswar Mukherjee,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.",A couple comes across renowned writer Nirbed Lahiri during a holiday. Things take a turn when he shares his tale of lust. Watch the full movie on Hoichoi.,"On holiday, a couple meets writer Nirbed Lahiri, whose tale of lust changes everything.",,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"nan, thriller",SVOD,Library,No,"Tekka, C/O Sir, Glamour, Rawkto Rawhoshyo, Mukhosh (2021)",not more than 3 minutes (non-commercial promotion )
HOI309,Movie,Bye Bye Bangkok,N/A,2011,2017-12-22,2022-12-21,N/A,N/A,103 min,Comedy,Comedy,U/A 16+,"Foul Language, Violence, Substance Use, Sexual Content, Alcohol",No,N/A,"Swastika Mukherjee, Kanchan Mullick, Rudranil Ghosh",Aniket Chattopadhyay,N/A,Kaustuv Ray,"A dream trip to Bangkok led couples choosing the wrong ways to reach their destination, hiding it from their respective partners. Comically crafted with ingredients of laughter, the events follow only to end in a different flavor. Watch the full movie on Hoichoi.","A Bangkok trip leads couples astray, hiding secrets from partners—comedy and chaos ensue. Watch on Hoichoi.",,Bengali,N/A,No,Feel-good,Funny,Happy,7,8,"nan, comedy",SVOD,Library,No,"Bibaho Obhijaan, Aami Aar Amar Girlfriends, Half Serious, Mahapurush O Kapurush, Basanta Bilap",not more than 3 minutes (non-commercial promotion )
HOI310,Movie,Accident,N/A,2012,2017-12-20,2022-12-20,N/A,N/A,129 min,Social,Social,U/A 13+,"Violence, Foul Language",No,N/A,"Shiboprosad Mukherjee, Sabyasachi Chakrabarty, Debshankar Haldar","Nandita Roy, Shiboprosad Mukherjee",N/A,Kaustuv Ray,"Retired cricketer Arko devotes his life to his son. Will he accept fate or stand up, when an accident shakes his family life? Watch the full movie on Hoichoi.",Retired cricketer Arko’s family is shaken by an accident—will he accept fate or fight? Watch on Hoichoi.,,Bengali,N/A,No,Drama,Neutral,Open,5,8,"nan, social",SVOD,Library,No,"Crisscross, Dharma Yudha, English Vs English, Mahaprithibi, Samadhan",not more than 3 minutes (non-commercial promotion )
HOI311,Movie,Chha-e Chuti,N/A,2009,2017-12-17,2022-12-16,N/A,N/A,115 min,Comedy,Comedy,U/A 16+,"Foul Language, Violence, Substance use, Sexual Content",No,N/A,"Sabyasachi Chakraborty, Rudranil Ghosh, Locket Chatterjee",Aniket Chattopadhyay,N/A,Kaustuv Ray,"When the shooting of the cast of a film is delayed, they take a trip to a beach but things turn upside down when they encounter a murder on the beach.","A film crew’s beach trip turns deadly when they stumble upon a murder, upending everything.",,Bengali,N/A,No,Lighthearted,Funny,Tragic,7,8,"nan, comedy",SVOD,Library,No,"Abar Bibaho Obhijaan, Hoichoi Unlimited, Ajob Prem Ebong, Bibaho Diaries, Galpa Holeo Satyi (2066)",not more than 3 minutes (non-commercial promotion )
HOI312,Movie,Room No 103,N/A,2015,2017-12-15,2022-12-14,N/A,N/A,96 min,Mystery,Mystery,U/A 16+,"Frightening Scenes, Sexual Content",No,N/A,"Soumitra Chatterjee, Jisshu Sengupta, Priyanka Sarkar",Aniket Chattopadhyay,N/A,Kaustuv Ray,Four incidents which happened to four different people are interconnected to one place where they occurred: a hotel room. Watch the full movie on Hoichoi.,"Four people experience separate incidents, all linked to one hotel room—watch the full movie on Hoichoi.",,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"nan, mystery",SVOD,Library,No,"Goyenda Junior, Clerk, Baishe Srabon",not more than 3 minutes (non-commercial promotion )
HOI313,Movie,Byomkesh O Chiriakhana,N/A,2016,2017-12-14,2022-12-13,N/A,N/A,63 min,Detective,Detective,U/A 16+,"Foul Language, Violence, Substance Use, Sexual Content",No,N/A,"Jisshu Sengupta, Saswata Chatterjee, Saayoni Ghosh",Anjan Dutt,N/A,Kaustuv Ray,Residents of a farmhouse get welcomed by Byomkesh’s sudden visit as someone has been in disguise. Will Byomkesh recognise? Watch the full movie on Hoichoi.,A disguised guest stirs intrigue at a farmhouse—can Byomkesh uncover the truth? Watch the full movie on Hoichoi.,,Bengali,N/A,Yes,Classic,Reflective,Twist,8,3,"nan, detective",SVOD,Library,No,"Gorosthane Sabdhan, Kiriti O Kalo Bhromor, Byomkesh Gowtro, Nilacholey Kiriti, Byomkesh Bakshi : Adim Ripu",not more than 3 minutes (non-commercial promotion )
HOI314,Movie,Byomkesh Bakshi : Adim Ripu,N/A,2010,2017-12-13,2022-12-12,N/A,N/A,115 min,Detective,Detective,U/A 16+,"Foul Language, Violence, Substance Use, Sexual Content",No,N/A,"Abir Chatterjee, Saswata Chatterjee, Swastika Mukherjee, Rudranil Ghosh",Anjan Dutt,N/A,Kaustuv Ray,A person has to pay for the crimes he commits. Byomkesh does a post-mortem of the evil deeds in order to pull out the truth. Watch the full movie on Hoichoi.,A person has to pay for the crimes he commits. Byomkesh does a post-mortem of the evil deeds in order to pull out the truth. Watch the full movie on Hoichoi.,,Bengali,N/A,Yes,Classic,Reflective,Twist,8,3,"nan, detective",SVOD,Library,No,"Gorosthane Sabdhan, Kiriti O Kalo Bhromor, Byomkesh Gowtro, Nilacholey Kiriti, Byomkesh O Chiriakhana",not more than 3 minutes (non-commercial promotion )
HOI315,Movie,Byomkesh Phire Elo,N/A,2014,2017-12-12,2022-12-11,N/A,N/A,107 min,Detective,Detective,U/A 16+,"Violence, Sexual Content",No,N/A,"Abir Chatterjee, Saswata Chatterjee, Ushasie Chakraborty",Anjan Dutt,N/A,Kaustuv Ray,Byomkesh overcomes every obstacle while searching for the truth behind the murder of a rich businessman and his bodyguard. Watch the full movie on Hoichoi.,Byomkesh tackles all obstacles to solve the murder of a businessman and his bodyguard—watch on Hoichoi.,,Bengali,N/A,Yes,Classic,Reflective,Twist,8,3,"nan, detective",SVOD,Library,No,"Gorosthane Sabdhan, Kiriti O Kalo Bhromor, Byomkesh Gowtro, Nilacholey Kiriti, Byomkesh O Chiriakhana",not more than 3 minutes (non-commercial promotion )
HOI316,Movie,Byomkesh Bakshi,N/A,2015,2017-12-11,2022-12-10,N/A,N/A,110 min,Detective,Detective,U/A 16+,"Violence, Sexual Content, Substance use",No,N/A,"Jisshu Sengupta, Saswata Chatterjee, Kaushik Sen",Anjan Dutt,N/A,Kaustuv Ray,"Byomkesh reaches a coalmine for investigation, to find an account of sinful events, waiting to be served to them. Watch the full movie on Hoichoi.","Byomkesh investigates a coalmine, uncovering a trail of dark deeds—watch the full movie on Hoichoi.",,Bengali,N/A,Yes,Classic,Reflective,Twist,8,3,"nan, detective",SVOD,Library,No,"Gorosthane Sabdhan, Kiriti O Kalo Bhromor, Byomkesh Gowtro, Nilacholey Kiriti, Byomkesh O Chiriakhana",not more than 3 minutes (non-commercial promotion )
HOI317,Movie,Ek Nodir Galpo,N/A,2006,2017-12-08,2022-12-07,N/A,N/A,125 min,Social,Social,U/A 16+,"Sexual Content, Violence",No,N/A,"Mithun Chakraborty, Jisshu Sengupta, Shweta Basu Prasad",Samir Chanda,N/A,Kaustuv Ray,This movie narrates one father-daughter relationship. The river flowing beside the village is the only silent witness. Watch the full movie on Hoichoi.,"A father-daughter bond unfolds, with the village river as the silent witness—watch the full movie on Hoichoi.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, social",SVOD,Library,No,"Crisscross, Dharma Yudha, English Vs English, Mahaprithibi, Samadhan",not more than 3 minutes (non-commercial promotion )
HOI318,Movie,Adbhoot,N/A,2013,2017-12-05,2026-12-31,N/A,N/A,123 min,Horror Comedy,Horror Comedy,U/A 13+,Alcohol,Yes,N/A,"Soumitra Chatterjee, Paran Bandyopadhyay, Kharaj Mukherjee",Sayantan Mukherjee,N/A,Cell Media Private Limited,"A once-wealthy family now living in their 200-year-old ancestral home begins to face eerie and unexplained events. As fear and curiosity grow, they question whether these strange happenings are blessings in disguise or signs of something sinister. What secrets does the old house hold?",A once-wealthy family experiences strange occurrences in the 200 year old house they live in. Are they for good or bad?,,Bengali,N/A,No,Dark,Scary,Cliffhanger,6,8,"horror comedy, nan",SVOD,Library,No,"Naqaab, Bhooter Bhabishyat",not more than 3 minutes (non-commercial promotion )
HOI319,Movie,Uttar Meleni,N/A,1982,2017-12-05,Perpetual,N/A,N/A,146 min,Romance,Romance,U,Suitable for all ages,Yes,N/A,"Ranjit Mallick, Dipankar Dey, Samit Bhanja",Uday Bhattacharya,N/A,Surpriya Devi,"Two completely different individuals fall in love, drawn together by fate despite their contrasting worlds. As life throws challenges their way, their bond is tested by hardships, choices, and time. A touching story of love, resilience, and the strength to hold on when everything falls apart.",A film about love shared by two totally different characters. How do they survive the onslaught life throws at them?,,Bengali,N/A,No,Romantic,Sentimental,Happy,7,7,"romance, nan",FVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",not more than 3 minutes (non-commercial promotion )
HOI320,Movie,Chupi Chupi Ashey,N/A,1960,2017-12-05,2025-10-17,N/A,N/A,146 min,Mystery,Mystery,U/A 7+,Appropriate for age 7 and above,No,N/A,"Chhabi Biswas, Robin Majumdar, Jahar Ganguly",Premendra Mitra,N/A,Aurora Film Corporation,"A woman is brutally murdered, and the only clue left behind is a handbill from a distant resort. As the investigation unfolds, hidden relationships, dark secrets, and buried motives come to light, leading to a gripping tale of deception, crime, and the search for justice.","The film portrays the story of a woman, who is murdered and a hand bill of a resort is the only existing evidence found.",,Bengali,N/A,Yes,Classic,Reflective,Twist,8,3,"nan, mystery",SVOD,Library,No,"Sonar Kella, Tirandaj Shabor, Ebar Shabor",not more than 1 minute
HOI321,Movie,Apan Jan,N/A,1968,2017-12-05,2025-10-17,N/A,N/A,146 min,Drama,Drama,U,Suitable for all ages,No,N/A,"Swaroop Dutta, Samit Bhanja, Rabi Ghosh",Tapan Sinha,N/A,"R.N. Malhotra, R.K. Kappor, T.M. Shah","A lonely widow comes to Kolkata with a man she believes to be her nephew. However, when she gets exploited, she moves out into the world of violence.","A lonely widow comes to Kolkata with a man she believes to be her nephew. However, when she gets exploited, she moves out into the world of violence.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 1 minute
HOI322,Movie,Muktisnan,N/A,2005,2017-12-05,2024-03-31,N/A,N/A,146 min,Drama,Drama,U/A 7+,Appropriate for age 7 and above,No,N/A,"Anil Chatterjee, Sabitri Chatterjee, Lolita Chatterjee",Ajit Ganguly,N/A,Kartik Burman,Shamita discovers Uday's wavering character after their marriage. Will she be able to change him for the better? Watch the full movie on Hoichoi.,"After marriage, Shamita finds Uday’s character unstable—can she change him for the better? Watch on Hoichoi.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",FVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 3 minutes (non-commercial promotion )
HOI323,Movie,Bhalobasar Anek Naam,N/A,2006,2017-12-05,2021-12-04,N/A,N/A,146 min,Romance,Romance,U/A 7+,Appropriate for age 7 and above,No,N/A,"Gaurab Chattopadhyay, Soumitra Chatterjee, Paran Bandopadhyay",Tarun Majumdar,N/A,N/A,"Bimal gets transferred to a village, where everyone showers him with nothing but love. Does he remain loyal to their affection? Watch the full movie on Hoichoi.","Bimal gets transferred to a village, where everyone showers him with nothing but love. Does he remain loyal to their affection?",,Bengali,N/A,Yes,Classic,Reflective,Happy,7,7,"romance, nan",SVOD,Library,No,"Arshinagar, Love (2008)",not more than 3 minutes (non-commercial promotion )
HOI324,Movie,Bhalobashi Tomake,N/A,2005,2017-12-05,2021-12-04,N/A,N/A,144 min,Drama,Drama,U/A 7+,Appropriate for age 7 and above,No,N/A,"Victor Banerjee, Prosenjit Chatterjee, Rituparna Sengupta",Swapan Saha,N/A,N/A,"Sagar grows up to be a man, with temper issues, who falls in love with a girl. Can she help him rectify his drawbacks? Watch the full movie on Hoichoi.","Sagar, a temperamental man, falls in love—can she help him overcome his flaws?",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",FVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 3 minutes (non-commercial promotion )
HOI325,Movie,Amrit Kumbher Sandhane,N/A,1982,2017-12-05,2023-06-18,N/A,N/A,146 min,Devotional,Devotional,U,Suitable for all ages,No,N/A,"Aparna Sen, Subhendu Chatterjee, Anup Kumar",Sudhin Dasgupta,N/A,N/A,The story revolves around the protagonist who visits Kumbh Mela to understand the perception of the devotees who visit there. Watch the full movie on Hoichoi.,The story revolves around the protagonist who visits Kumbh Mela to understand the perception of the devotees who visit there.,,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, devotional",SVOD,Library,No,"Bhagwan Sri Krishna Chaitanya, Bhokter Maa, Sadhanpith Tarapith, Iccha Moyee Maa, Chaya Surya",not more than 1 minute
HOI326,Movie,Baisakhi Megh,N/A,1981,2017-12-05,2023-06-18,N/A,N/A,146 min,Drama,Drama,U/A 7+,Appropriate for age 7 and above,No,N/A,"Rabi Ghosh, Sumitra Mukherjee, Shobha Sen",Utpal Dutta,N/A,N/A,"Set in the pre-independence era, ""Baisakhi Megh"" revolves around four college students who rob a bank and unintentionally land up killing a police officer.","Baisakhi Megh, set in pre-independence India, follows four students whose bank heist accidentally kills a police officer.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 1 minute
HOI327,Movie,Bidhatar Khela,N/A,2001,2017-12-02,2029-03-31,N/A,N/A,147 min,Comedy,Comedy,U,Suitable for all ages,Yes,N/A,"Jisshu Sengupta, Ranjit Mallick, Manoj Mitra",Mohanjit Prasad,N/A,N/A,"They gave up everything for others—dreams, comfort, even stability. But when life turns its back and leaves them homeless, a couple must face a world that no longer remembers their kindness. A moving tale of love, loss, and the quiet strength to start over from nothing.",A couple have sacrificed a lot in their lives but get repaid with nothing. What happens when they become homeless?,,Bengali,N/A,No,Lighthearted,Funny,Tragic,7,8,"nan, comedy",SVOD,Library,No,"Abar Bibaho Obhijaan, Hoichoi Unlimited, Ajob Prem Ebong, Bibaho Diaries, Galpa Holeo Satyi (2066)",not more than 3 minutes (non-commercial promotion )
HOI328,Movie,Rakhe Hari Mare Ke,N/A,2003,2017-12-02,2027-04-14,N/A,N/A,147 min,Action,Action,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Prosenjit Chatterjee, Rachana Banerjee, Raima Sen",Ratan Adhikari,N/A,N/A,"An army captain is framed and killed by those he trusted most. Branded a traitor, his honor is buried with him. Years later, his sons rise—not just to avenge, but to reclaim their father’s dignity. What follows is a tense reckoning with the past, marked by truth, redemption, and resolve.","The co-patriots of an army captain back stab him, and he dies. Can his sons now prove their father's innocence?",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"action, nan",SVOD,Library,No,"Kabir, Boss, Sesh Kartabya, ACP Ranveer, Gangstar King",not more than 3 minutes (non-commercial promotion )
HOI329,Movie,Ami Je Ke Tomar,N/A,2017,2017-12-01,Perpetual,N/A,N/A,138 min,Drama,Drama,U/A 13+,Violence,Yes,N/A,"Ankush, Sayantika Banerjee, Nusrat Jahan",Rabi Kinagi,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","Aditya runs a business with his closest friend Prachi, until Esha walks into his life and sweeps him off his feet. But beneath Esha’s charm lies a past she’s not ready to share. As emotions tangle and loyalties shift, Aditya finds himself caught between love, friendship, and hidden truths.","Aditya’s best friend Prachi is his business partner. He meets Esha and is smitten by her, being unaware about her past.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 3 minutes (non-commercial promotion )
HOI330,Movie,Paanch Adhyay,N/A,2012,2017-12-01,2022-11-30,N/A,N/A,115 min,Romance,Romance,U/A 13+,Sexual Content,No,N/A,"Priyanshu Chatterjee, Dia Mirza, Soumitra Chatterjee",Pratim D. Gupta,N/A,Kaustuv Ray,"Ishita and Arindam have different ideologies. Does the love stay as the only constant, amidst other emotions? Watch the full movie on Hoichoi.",Ishita & Arindam clash in beliefs—will love remain their only constant? Watch on Hoichoi.,,Bengali,N/A,No,Romantic,Sentimental,Happy,7,7,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",not more than 3 minutes (non-commercial promotion )
HOI331,Movie,Posto,N/A,2017,2017-11-24,2022-11-23,N/A,N/A,149 min,Drama,Drama,U/A 13+,"Smoking, Alcohol, Violence",No,N/A,"Soumitra Chatterjee, Jisshu Sengupta, Mimi Chakraborty, Lily Chakraborty, Argha Basu Roy","Nandita Roy, Shiboprosad Mukherjee",N/A,"Nandita Roy, Shiboprosad Mukherjee and Windows Production","Posto lives with his grandparents in Shantiniketan, till his parents come from Kolkata to take him. Who will he choose now? Watch the full movie on Hoichoi.",Posto grows up with grandparents in Shantiniketan—will he stay or go to Kolkata? Watch on Hoichoi.,,Bengali,N/A,No,Drama,Neutral,Open,5,8,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 3 minutes (non-commercial promotion )
HOI332,Movie,Goopy Bagha Phire Elo,N/A,1992,2017-11-23,2025-10-17,N/A,N/A,115 min,Comedy,Comedy,U,Suitable for all ages,No,N/A,"Rabi Ghosh, Tapen Chatterjee, Ajit Bandopadhyay",Sandip Ray,N/A,N/A,"Goopy Bagha Phire Elo, the third film of the Goopy-Bagha trilogy as Goopy and Bagha go to the evil Brahmananda who promises to make them young, if they procure three precious stones.","Goopy Bagha Phire Elo — the trilogy’s third adventure, as Goopy and Bagha face Brahmananda, who offers youth for three precious stones.",,Bengali,N/A,Yes,Classic,Reflective,Happy,7,8,"nan, comedy",SVOD,Library,No,Bogla Mama,not more than 1 minute
HOI333,Movie,Chotushkone,N/A,2014,2017-11-22,2026-11-21,N/A,N/A,115 min,Thriller,Thriller,U/A 16+,"Foul Language, Sexual Content, Substance Use, Violence",Yes,N/A,"Parambrata Chattopadhyay, Aparna Sen, Chiranjeet Chakraborty, Goutam Ghose, Kaushik Ganguly",Srijit Mukherjee,N/A,"Dag Creative Media, Reliance Entertainment Pvt. Ltd.","Four filmmakers — played by Aparna Sen, Chiranjeet Chakrabarti, Goutam Ghose, and Parambrata Chattopadhyay — are invited to create stories on the theme of death. As they travel together, secrets unravel and reality begins to mirror fiction in this gripping, award-winning thriller by Srijit Mukherji.","Four directors, one theme: death. As stories unfold, truth blurs with fiction in this tense thriller by Srijit Mukherji.",,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"nan, thriller",SVOD,Library,No,"Tekka, C/O Sir, Glamour, Rawkto Rawhoshyo, Mukhosh (2021)",not more than 3 minutes (non-commercial promotion )
HOI334,Movie,Jaatishwar,N/A,2014,2017-11-21,2026-11-20,N/A,N/A,148 min,Musical Drama,Musical Drama,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Prosenjit Chattopadhyay, Jisshu Sengupta, Swastika Mukherjee",Srijit Mukherjee,N/A,"Rana Sarkar, Reliance Entertainment Pvt. Ltd.","Rohit decides to do a dissertation on the famous Portuguese-origin Bengali singer-songwriter, Hensman Anthony, from 19th century.  On his research trail, he comes across a librarian, Kushal Hazra, who claims to be the reincarnation of Anthony himself.",Rohit's research on singer Hensman Anthony twists when a librarian claims he's reborn.,,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, musical drama",SVOD,Library,No,"Jhumura, Amar Geeti, Kishore Kumar Junior, Aami Ashbo Phirey, Madly Bangali",not more than 3 minutes (non-commercial promotion )
HOI335,Movie,Bhokter Maa,N/A,1998,2017-11-08,Perpetual,N/A,N/A,165 min,Devotional,Devotional,U,Suitable for all ages,Yes,N/A,"Manoj Das, Priyanvada Roy, Anu Choudhari",Basant Saha,N/A,N/A,"Based on Hindu mythology, this epic drama brings to life the fierce war between gods and demons, who descend to Earth to spread fear and chaos. As divine forces clash with darkness, the battle for balance, justice, and the fate of humanity unfolds in a tale of power, faith, and destiny.",A drama based on the Hindu myth of the war between the gods and the demons who plague and terrorise mortals on earth.,,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, devotional",FVOD,Library,No,"Bhagwan Sri Krishna Chaitanya, Amrit Kumbher Sandhane, Sadhanpith Tarapith, Iccha Moyee Maa, Chaya Surya",not more than 3 minutes (non-commercial promotion )
HOI336,Movie,Mistake,N/A,2013,2017-11-08,2021-11-07,N/A,N/A,109 min,Romance,Romance,U,Suitable for all ages,No,N/A,"Preeti Jhangiani, Vikram Chatterjee, Indrani Haldar",SK,N/A,N/A,"The film focuses on the issues of live-in relationships, especially given the conservative constraints of today's society. Watch the full movie on Hoichoi.",A story of live-in love battling society’s conservative norms. Watch on Hoichoi.,,Bengali,N/A,No,Romantic,Sentimental,Happy,7,7,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",not more than 3 minutes (non-commercial promotion )
HOI337,Movie,Rajdanda,N/A,1999,2017-11-08,2021-11-07,N/A,N/A,133 min,Drama,Drama,U/A 13+,Violence,No,N/A,"Chiranjeet Chakraborty, Debashree Roy, Sabyasachi Chakraborty",Ranjit Banerjee,N/A,N/A,"The movie depicts the hardships and difficulties faced my moralities, when immoral deeds emerge to challenge them. Watch the full movie on Hoichoi.","When morality is tested by rising immorality, values face their toughest trial. Watch on Hoichoi.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",FVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",not more than 3 minutes (non-commercial promotion )
